row.ID,Molecule,Treatment,Treatment_groups,log_peak,Peak_Area_mean,treatment,Bacteria,Control
275,No ID 275,mixed_innate,both+DOM,0,0,Innate Host Selection,mixed,No
270,Acyl-Tryptamine,mixed_innate,both+DOM,13.610383,13.43644,Innate Host Selection,mixed,No
261,Dyphylline,mixed_innate,both+DOM,13.386558,13.375146,Innate Host Selection,mixed,No
260,No ID 260,mixed_innate,both+DOM,13.372475,13.22042,Innate Host Selection,mixed,No
226,No ID 226,mixed_innate,both+DOM,12.035728,11.695772,Innate Host Selection,mixed,No
221,No ID 221,mixed_innate,both+DOM,10.194976,10.256646,Innate Host Selection,mixed,No
217,No ID 217,mixed_innate,both+DOM,13.006588,12.670857,Innate Host Selection,mixed,No
209,Juglomycin F,mixed_innate,both+DOM,11.248063,11.136232,Innate Host Selection,mixed,No
134,No ID 134,mixed_innate,both+DOM,7.847578,10.552357,Innate Host Selection,mixed,No
121,No ID 121,mixed_innate,both+DOM,9.837754,9.785481,Innate Host Selection,mixed,No
116,No ID 116,mixed_innate,both+DOM,10.973898,10.578833,Innate Host Selection,mixed,No
87,No ID 87,mixed_innate,both+DOM,8.26955,8.337431,Innate Host Selection,mixed,No
62,No ID 62,mixed_innate,both+DOM,10.873633,11.37156,Innate Host Selection,mixed,No
