formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
2	C29H48O15	[M + H3N + H]+	C29H52NO15+	Fatty acids	0.531	Monoterpenoids	0.570	Secoiridoid monoterpenoids	0.592	Lipids and lipid-like molecules	0.927	Saccharolipids	0.521					Saccharolipids	0.521	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Carboxylic acid esters; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty Acyls; Saccharolipids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	654.331	83	603011888812082907	603010761001472348	33
1	C29H33N3O5S2	[M + H]+	C29H34N3O5S2+	Amino acids and Peptides	0.900	Oligopeptides	0.159	Melithiazole and Myxothiazole derivatives	0.013	Benzenoids	0.995	Benzene and substituted derivatives	0.960					Benzene and substituted derivatives	0.960	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	568.191	83	603011525480490583	603010761437679974	35
1	C28H43N3O15S	[M + Na]+	C28H43N3NaO15S+	Carbohydrates	0.746	Aminosugars and aminoglycosides	0.585	Aminoglycosides	0.529	Organic acids and derivatives	0.994	Carboxylic acids and derivatives	0.987	Amino acids, peptides, and analogues	0.940	Amino acids and derivatives	0.937	N-acyl-alpha amino acids and derivatives	0.651	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Carboxylic acid esters; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Glycosyl compounds; Dialkylamines; Benzene and substituted derivatives; Alpha amino acid amides; Amines; Sulfenyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Cysteine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	716.228	83	603011731043331047	603010761592869227	36
1	C19H37NO10S3	[M + H]+	C19H38NO10S3+	Amino acids and Peptides	0.868	Amino acid glycosides	0.808	Glucosinolates	0.237	Organic oxygen compounds	1.000	Organooxygen compounds	0.989	Carbohydrates and carbohydrate conjugates	0.386	Monosaccharides	0.507	Monosaccharides	0.507	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organooxygen compounds; Organic sulfuric acids and derivatives; Thioacetals; Monosaccharides; Monothioacetals; Sulfenyl compounds; Sulfuric acid esters; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	536.165	83	603011654279178815	603010761743864176	37
1	C29H33N5O7S2	[M + H]+	C29H34N5O7S2+	Amino acids and Peptides	0.926	Oligopeptides	0.859	Cyclamides	0.581	Organic acids and derivatives	0.986	Carboxylic acids and derivatives	0.944	Amino acids, peptides, and analogues	0.665	Amino acids and derivatives	0.660	Alpha amino acids and derivatives	0.546	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	628.194	83	603011927500349468	603010761907442037	39
1	C22H33N3O10S	[M + Na]+	C22H33N3NaO10S+	Carbohydrates	0.836	Aminosugars and aminoglycosides	0.529	Aminoglycosides	0.576	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.992	Amino acids, peptides, and analogues	0.948	Peptides	0.529	Peptides	0.529	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenols; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Glycosyl compounds; Dialkylamines; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	554.176	83	603011812844844901	603010762129740154	41
1	C24H45NO9	[M + H]+	C24H46NO9+	Amino acids and Peptides	0.679	Macrolides	0.766	Open-chain polyketides	0.359	Lipids and lipid-like molecules	0.659	Fatty Acyls	0.561					Fatty Acyls	0.561	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	492.316	83	603011836777544815	603010762343649663	44
1	C33H38O6	[M + H3N + H]+	C33H42NO6+	Shikimates and Phenylpropanoids	0.837	Lignans	0.188	Linear diarylheptanoids	0.130	Benzenoids	0.962	Phenol ethers	0.504					Phenol ethers	0.504	Organic compounds; Alkyl aryl ethers; Ethers; Phenylpropanoids and polyketides; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities	548.301	83	603011838182636724	603010762557559172	45
1	C14H18N4O6S	[M + H]+	C14H19N4O6S+	Alkaloids	0.288	Phloroglucinols	0.056	Cyclamides	0.098	Benzenoids	0.929	Benzene and substituted derivatives	0.899	Benzenesulfonamides	0.657			Benzenesulfonamides	0.657	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Benzenesulfonamides; Alkyl aryl ethers; Benzoic acids and derivatives; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Azoles; Sulfonylureas; Sulfonyls; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	371.101	83	603011896990975934	603010762716942729	46
2	C38H44N4O7	[M + H3N + H]+	C38H48N5O7+	Alkaloids	0.441	Tryptophan alkaloids	0.455	Carboline alkaloids	0.340	Benzenoids	0.878	Benzene and substituted derivatives	0.603					Benzene and substituted derivatives	0.603	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	686.357	84	603011812173756216	603010762922463630	47
1	C18H33NO7	[M + H]+	C18H34NO7+	Fatty acids	0.862	Macrolides	0.445	Cyanogenic glycosides	0.143	Lipids and lipid-like molecules	0.756	Fatty Acyls	0.770	Fatty acid esters	0.514			Fatty acid esters	0.514	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	376.233	84	603011866380943464	603010763157344659	48
1	C21H39NO8	[M + H]+	C21H40NO8+	Polyketides	0.480	Macrolides	0.840	Erythromycins	0.267	Organic oxygen compounds	0.999	Organooxygen compounds	0.998	Carbohydrates and carbohydrate conjugates	0.690	Monosaccharides	0.575	Monosaccharides	0.575	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	434.275	84	603011858478874488	603010763358671256	49
2	C17H29N5O4	[M + Na]+	C17H29N5NaO4+	Amino acids and Peptides	0.387	Small peptides	0.315	Dipeptides	0.071	Organic acids and derivatives	0.942	Carboxylic acids and derivatives	0.897	Amino acids, peptides, and analogues	0.606	Amino acids and derivatives	0.603	Amino acids and derivatives	0.603	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Aminopyrimidines and derivatives; Carbonyl compounds; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	390.212	84	603011814853916725	603010763534832029	50
1	C37H48O11	[M + H]+	C37H49O11+	Polyketides	0.629	Coumarins	0.132	Bisnaphthalenes	0.157	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.661	Glycosyl compounds	0.580	Phenolic glycosides	0.524	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzenoids; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; Chemical entities	669.331	84	603011746058941197	603010763673244066	51
1	C6H8O2	[M + H]+	C6H9O2+	Fatty acids	0.985	Fatty acyls	0.962	Fatty aldehydes	0.704	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbonyl compounds	0.986	Ketones	0.920	Ketones	0.920	Organic compounds; Ketones; Organooxygen compounds; Carbonyl compounds; Alpha,beta-unsaturated carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	113.060	84	603011815323678836	603010763815850407	52
1	C38H52N2O8	[M + Na]+	C38H52N2NaO8+	Amino acids and Peptides	0.339	Macrolides	0.596	Linear polyenes	0.114	Benzenoids	0.761	Benzene and substituted derivatives	0.515					Benzene and substituted derivatives	0.515	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	687.361	84	603011801406977597	603010764004594092	53
14	C12H30N3O3P	[M + Na]+	C12H30N3NaO3P+	Fatty acids	0.757	Ornithine alkaloids	0.489	Polyamines	0.770	Organic nitrogen compounds	0.967	Organonitrogen compounds	0.837					Organonitrogen compounds	0.837	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	318.191	84	603011886974977578	603010764176560561	54
1	C15H24O6	[M + H]+	C15H25O6+	Fatty acids	0.411	Fatty esters	0.239	Wax monoesters	0.191	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.997	Dicarboxylic acids and derivatives	0.608			Dicarboxylic acids and derivatives	0.608	Organic compounds; Lipids and lipid-like molecules; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Organic oxides; Hydrocarbon derivatives; Acrylic acids and derivatives; Acrylic acid esters; Organic oxygen compounds; Chemical entities	301.164	84	603011896634460063	603010764377887158	55
1	C15H28NO5P	[M + H]+	C15H29NO5P+	Terpenoids	0.195	Monoterpenoids	0.414	Menthane monoterpenoids	0.087	Organic acids and derivatives	0.917	Organic phosphonic acids and derivatives	0.804	Phosphonic acid esters	0.657			Phosphonic acid esters	0.657	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Phosphonic acid esters; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	334.178	84	603011869019160843	603010764545659323	56
1	C17H33NO7	[M + H]+	C17H34NO7+	Fatty acids	0.497	Polyols	0.094	N-acyl amines	0.072	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.993	Dialkyl ethers	0.989	Dialkyl ethers	0.989	Organic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	364.233	85	603011902003169493	603010764734403008	57
1	C18H28O2	[M + H]+	C18H29O2+	Terpenoids	0.960	Diterpenoids	0.673	Norlabdane diterpenoids	0.054	Lipids and lipid-like molecules	0.913	Prenol lipids	0.713					Prenol lipids	0.713	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Prenol lipids; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	277.216	85	603011864665473021	603010764902175173	58
2	C6H12N6O	[M + Na]+	C6H12N6NaO+	Alkaloids	0.776	Histidine alkaloids	0.112	Imidazole alkaloids	0.110	Organoheterocyclic compounds	0.997	Triazines	0.958	1,3,5-triazines	0.970	Alkoxy-S-triazines	0.970	2-methoxy-1,3,5-triazines	0.752	Organic compounds; Organoheterocyclic compounds; Triazines; Alkyl aryl ethers; Ethers; Organonitrogen compounds; Organooxygen compounds; Aminotriazines; Amines; N-aliphatic s-triazines; 1,3,5-triazines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Alkoxy-S-triazines; Organic nitrogen compounds; 2-methoxy-1,3,5-triazines; Chemical entities	207.095	85	603011819085969704	603010765380325839	61
1	C18H37NO7	[M + H]+	C18H38NO7+	Fatty acids	0.498	Fatty Acids and Conjugates	0.242	N-acyl amines	0.171	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.994	Dialkyl ethers	0.994	Dialkyl ethers	0.994	Organic compounds; Ethers; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	380.264	86	603011873574175186	603010766110134755	67
1	C18H38O5	[M + H]+	C18H39O5+	Fatty acids	0.979	Fatty acyls	0.726	Fatty alcohols	0.721	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.995	Dialkyl ethers	0.994	Polyethylene glycols	0.958	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	335.279	86	603011871049204076	603010766256935400	69
1	C18H38O5	[M + H3N + H]+	C18H42NO5+	Fatty acids	0.984	Fatty acyls	0.834	Fatty alcohols	0.846	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.996	Dialkyl ethers	0.996	Polyethylene glycols	0.957	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	352.305	86	603011792666047746	603010766542148082	71
